iter	Passed	Remaining
888	1694	211
889	1695	209
890	1697	207
891	1699	205
892	1700	203
893	1702	201
894	1703	199
895	1705	197
896	1707	196
897	1708	194
898	1710	192
899	1712	190
900	1713	188
901	1715	186
902	1716	184
903	1718	182
904	1719	180
905	1722	178
906	1723	176
907	1725	174
908	1726	172
909	1728	170
910	1729	169
911	1731	167
912	1732	165
913	1734	163
914	1736	161
915	1738	159
916	1740	157
917	1741	155
918	1742	153
919	1744	151
920	1745	149
921	1747	147
922	1748	145
923	1751	144
924	1752	142
925	1754	140
926	1755	138
927	1757	136
928	1758	134
929	1760	132
930	1761	130
931	1763	128
932	1765	126
933	1767	124
934	1769	123
935	1771	121
936	1773	119
937	1775	117
938	1776	115
939	1778	113
940	1780	111
941	1782	109
942	1783	107
943	1785	105
944	1786	103
945	1788	102
946	1789	100
947	1790	98
948	1792	96
949	1795	94
950	1797	92
951	1798	90
952	1800	88
953	1801	86
954	1803	84
955	1804	83
956	1806	81
957	1809	79
958	1810	77
959	1812	75
960	1813	73
961	1815	71
962	1816	69
963	1818	67
964	1819	65
965	1821	64
966	1824	62
967	1825	60
968	1827	58
969	1828	56
970	1830	54
971	1831	52
972	1833	50
973	1835	49
974	1838	47
975	1839	45
976	1841	43
977	1842	41
978	1844	39
979	1845	37
980	1847	35
981	1849	33
982	1850	32
983	1853	30
984	1854	28
985	1856	26
986	1857	24
987	1859	22
988	1860	20
989	1862	18
990	1863	16
991	1865	15
992	1867	13
993	1869	11
994	1870	9
995	1872	7
996	1874	5
997	1875	3
998	1877	1
999	1878	0
